City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,la passe,45.5549,-0.8967,6.13,74,100,8.59,FR,1708668733
274,puerto del rosario,28.5004,-13.8627,18.86,59,100,6.69,ES,1708668733
275,prince rupert,54.3161,-130.3201,5.07,81,98,2.76,CA,1708668734
276,cartagena del chaira,1.3349,-74.8429,24.26,70,86,1.15,CO,1708668735
277,kisangani,0.5167,25.2,26.56,74,100,1.81,CD,1708668736
278,skhira,34.2992,10.07,12.62,50,31,7.44,TN,1708668737
279,tralee,52.2704,-9.7026,5.22,78,100,10.18,IE,1708668738
280,namibe,-15.1961,12.1522,24.08,83,100,2.91,AO,1708668739
281,mek'ele,13.4967,39.4753,18.25,43,100,7.41,ET,1708668455
282,nyrob,60.733,56.7202,-15.83,96,100,3.42,RU,1708668740
283,suicheng,33.8963,117.9331,0.33,74,64,4.04,CN,1708668740
284,ataq,14.5377,46.8319,22.69,30,64,2.39,YE,1708668741
285,ximeicun,24.9639,118.3794,15.6,67,99,2.23,CN,1708668741
286,dondo,-19.6094,34.7431,27.73,73,66,1.22,MZ,1708668742
287,callao,-12.0667,-77.15,25.95,83,40,5.66,PE,1708668698
288,niesky,51.2924,14.8211,10.12,61,100,5.62,DE,1708668743
289,vokhtoga,58.8147,41.0461,-7.46,95,98,3.65,RU,1708668744
290,harstad,68.799,16.5293,0.09,76,98,3.74,NO,1708668745
291,hadibu,12.65,54.0333,27.11,52,41,6.01,YE,1708668745
292,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,35,40,6.0,RU,1708668746
293,lata,40.1629,-8.3327,10.04,88,95,4.24,PT,1708668746
294,east london,-33.0153,27.9116,21.52,88,20,2.57,ZA,1708668747
295,el calafate,-50.3408,-72.2768,5.61,66,13,3.75,AR,1708668747
296,khash,28.2211,61.2158,11.65,23,0,0.81,IR,1708668748
297,kuanda,56.3161,116.0806,-18.72,88,57,0.86,RU,1708668748
298,mount pearl,47.5166,-52.7813,0.18,97,100,1.09,CA,1708668749
299,prokop'yevsk,53.9059,86.719,-20.69,58,25,2.17,RU,1708668749
300,mersa matruh,31.3525,27.2453,15.35,67,100,4.3,EG,1708668750
301,mirnyy,62.5353,113.9611,-14.87,60,98,0.89,RU,1708668750
302,markala,13.7021,-6.0659,18.5,17,47,5.67,ML,1708668751
303,vila franca do campo,37.7167,-25.4333,13.23,76,76,2.01,PT,1708668751
304,ulsteinvik,62.3432,5.8487,4.07,92,100,1.79,NO,1708668752
305,coronel fabriciano,-19.5186,-42.6289,23.02,83,100,1.03,BR,1708668753
306,medeiros neto,-17.3739,-40.2206,23.22,96,100,1.93,BR,1708668753
307,tangalle,6.024,80.7911,32.09,66,76,3.8,LK,1708668725
308,langsa,4.4683,97.9683,34.13,48,58,3.1,ID,1708668748
309,monticello,45.3055,-93.7941,1.97,84,75,2.57,US,1708668477
310,sierra grande,-41.606,-65.3557,17.13,33,12,7.9,AR,1708668755
311,korla,41.7597,86.1469,-1.69,40,61,2.14,CN,1708668755
312,kunduz,36.75,68.75,8.73,51,18,1.41,AF,1708668634
313,zahle,33.8497,35.9042,9.67,50,77,0.85,LB,1708668756
314,nago,26.5881,127.9761,22.47,81,100,5.76,JP,1708668758
315,katsuura,35.1333,140.3,5.88,97,100,9.62,JP,1708668561
316,krasnyy chikoy,50.3643,108.7512,-8.04,76,100,1.87,RU,1708668741
317,port mathurin,-19.6833,63.4167,27.23,85,96,6.92,MU,1708668759
318,aktau,43.65,51.2,-2.68,60,85,6.21,KZ,1708668760
319,nouadhibou,20.931,-17.0347,19.08,47,1,7.17,MR,1708668761
320,chicomuselo,15.7667,-92.2667,19.25,50,0,1.55,MX,1708668761
321,klyuchi,52.2667,79.1667,-16.28,73,91,3.78,RU,1708668762
322,guerrero negro,27.9769,-114.0611,16.41,81,100,3.73,MX,1708668561
323,road town,18.4167,-64.6167,24.05,65,5,5.98,VG,1708668473
324,sarankhola,22.3082,89.7897,29.72,45,65,2.58,BD,1708668763
325,jumla,29.2747,82.1838,6.56,37,16,2.02,NP,1708668763
326,esil,51.9556,66.4042,-20.6,92,19,1.67,KZ,1708668764
327,karakulino,56.012,53.7067,-18.21,97,99,1.64,RU,1708668764
328,carmo do paranaiba,-19.0008,-46.3161,21.53,94,98,2.14,BR,1708668736
329,boende,-0.2167,20.8667,23.82,93,100,0.85,CD,1708668765
330,margaret river,-33.95,115.0667,25.3,49,23,5.19,AU,1708668766
331,springbok,-29.6643,17.8865,20.32,24,0,1.03,ZA,1708668766
332,bikenibeu village,1.3673,173.1241,29.98,79,20,2.57,KI,1708668767
333,broken hill,-31.95,141.4333,28.19,20,0,8.48,AU,1708668768
334,lucheng,31.2336,117.2806,-1.83,89,100,4.65,CN,1708668768
335,sandnessjoen,66.0217,12.6316,7.06,57,0,6.17,NO,1708668769
336,san ignacio,17.1561,-89.0714,18.08,88,0,0.0,BZ,1708668769
337,sinabang,2.4803,96.3801,29.82,68,68,0.83,ID,1708668770
338,khost,33.3395,69.9204,10.44,38,34,1.42,AF,1708668770
339,gizo,-8.103,156.8419,27.67,80,100,3.28,SB,1708668771
340,fernley,39.608,-119.2518,5.47,53,18,1.47,US,1708668771
341,manta,-0.95,-80.7333,27.78,79,75,3.58,EC,1708668615
342,uturoa,-16.7333,-151.4333,28.48,72,60,0.63,PF,1708668772
343,nuuk,64.1835,-51.7216,-9.66,73,100,4.12,GL,1708668772
344,hovd,48.0056,91.6419,-16.32,60,1,2.1,MN,1708668773
345,shache,38.4167,77.2406,2.06,46,84,1.39,CN,1708668773
346,goundam,16.4145,-3.6708,16.7,15,27,5.72,ML,1708668774
347,karratha,-20.7377,116.8463,32.6,61,74,10.06,AU,1708668661
348,gwadar,25.1216,62.3254,23.13,27,0,2.65,PK,1708668774
349,lihue,21.9789,-159.3672,22.98,76,88,4.78,US,1708668775
350,safi,32.1667,-8.8333,13.3,84,86,1.8,MA,1708668517
351,giyani,-23.3025,30.7187,25.62,52,7,1.43,ZA,1708668776
352,lucapa,-8.4192,20.7447,20.86,94,93,0.39,AO,1708668777
353,onguday,50.75,86.15,-14.81,72,19,1.45,RU,1708668777
354,santa catalina,9.3337,122.8637,31.08,63,39,1.5,PH,1708668777
355,west bay,19.3667,-81.4167,23.28,57,0,4.81,KY,1708668778
356,mount gambier,-37.8333,140.7667,17.76,50,77,5.9,AU,1708668778
357,kavaratti,10.5669,72.642,27.79,65,16,4.67,IN,1708668779
358,st. john's,47.5649,-52.7093,0.64,96,100,0.83,CA,1708668780
359,craig,40.5153,-107.5464,-2.21,100,0,0.0,US,1708668780
360,lhasa,29.65,91.1,2.7,24,62,3.52,CN,1708668781
361,san luis de la loma,17.2706,-100.8939,23.22,74,0,1.98,MX,1708668781
